Aalpha,Abeta,Balpha,Bbeta,Y
41.431313131,18.245454545,28.83030303,12.701010101,
8.6686868687,31.350505051,32.862626263,29.838383838,
45.463636364,6.1484848485,28.326262626,32.862626263,
47.47979798,44.455555556,21.773737374,28.83030303,
32.862626263,1.1080808081,33.870707071,39.919191919,
8.1646464646,17.237373737,11.188888889,4.6363636364,
4.6363636364,45.463636364,4.1323232323,11.188888889,
6.1484848485,10.684848485,41.935353535,21.773737374,
13.709090909,29.838383838,13.709090909,39.415151515,
36.894949495,41.935353535,27.822222222,20.261616162,
35.382828283,22.781818182,45.967676768,16.733333333,
1.1080808081,42.439393939,30.342424242,43.447474747,
34.374747475,32.862626263,13.205050505,21.26969697,
26.814141414,24.797979798,3.1242424242,18.749494949,
31.854545455,14.213131313,20.261616162,17.741414141,
33.870707071,13.205050505,17.741414141,3.1242424242,
15.221212121,46.975757576,48.991919192,13.205050505,
10.684848485,17.741414141,33.366666667,9.1727272727,
29.334343434,4.1323232323,40.927272727,11.692929293,
33.366666667,23.285858586,1.6121212121,2.6202020202,
