Aalpha,Abeta,Balpha,Bbeta,Y
18.245454545,27.318181818,44.455555556,40.423232323,
40.927272727,36.390909091,29.838383838,34.374747475,
37.903030303,11.188888889,47.47979798,30.846464646,
50,14.717171717,16.733333333,13.709090909,
23.285858586,2.1161616162,23.285858586,26.31010101,
20.261616162,39.415151515,8.1646464646,17.237373737,
1.6121212121,10.180808081,2.6202020202,36.894949495,
0.1,24.293939394,47.983838384,26.814141414,
0.604040404,0.604040404,15.725252525,41.935353535,
44.95959596,38.911111111,30.846464646,5.1404040404,
23.78989899,34.878787879,32.358585859,48.487878788,
43.951515152,33.870707071,37.903030303,45.967676768,
10.180808081,6.6525252525,14.213131313,31.854545455,
18.749494949,3.6282828283,35.382828283,20.765656566,
35.886868687,28.83030303,29.334343434,22.781818182,
16.733333333,11.692929293,31.854545455,33.366666667,
46.975757576,25.302020202,24.797979798,43.951515152,
38.911111111,16.733333333,10.180808081,27.822222222,
21.773737374,37.398989899,34.878787879,18.245454545,
12.701010101,43.951515152,43.951515152,38.911111111,
