Aalpha,Abeta,Balpha,Bbeta,Hilln,BConc
8.2469387755,29.632653061,48.981632653,14.357142857,25.714285714,
0.1,14.357142857,21.485714286,38.797959184,105.6122449,
27.595918367,7.2285714286,35.742857143,47.963265306,19.795918367,
35.742857143,22.504081633,29.632653061,24.540816327,13.87755102,
22.504081633,20.467346939,1.1183673469,41.853061224,111.53061224,
19.448979592,13.33877551,20.467346939,3.1551020408,16.836734694,
10.283673469,18.430612245,11.302040816,42.871428571,31.632653061,
32.687755102,38.797959184,10.283673469,33.706122449,7.9591836735,
15.375510204,2.1367346939,32.687755102,22.504081633,123.36734694,
25.559183673,19.448979592,45.926530612,5.1918367347,87.857142857,
26.57755102,24.540816327,33.706122449,29.632653061,84.897959184,
50,36.76122449,3.1551020408,31.669387755,73.06122449,
28.614285714,4.1734693878,31.669387755,50,102.65306122,
40.834693878,30.651020408,17.412244898,39.816326531,141.12244898,
34.724489796,40.834693878,42.871428571,12.320408163,40.510204082,
48.981632653,10.283673469,39.816326531,37.779591837,64.183673469,
30.651020408,47.963265306,15.375510204,21.485714286,99.693877551,
42.871428571,31.669387755,26.57755102,6.2102040816,93.775510204,
47.963265306,12.320408163,8.2469387755,10.283673469,67.142857143,
33.706122449,34.724489796,46.944897959,15.375510204,144.08163265,
36.76122449,23.52244898,9.2653061224,11.302040816,147.04081633,
9.2653061224,9.2653061224,30.651020408,27.595918367,5,
17.412244898,25.559183673,22.504081633,26.57755102,150,
4.1734693878,26.57755102,44.908163265,20.467346939,120.40816327,
29.632653061,1.1183673469,19.448979592,23.52244898,46.428571429,
12.320408163,50,38.797959184,8.2469387755,114.48979592,
16.393877551,44.908163265,47.963265306,35.742857143,58.265306122,
37.779591837,32.687755102,41.853061224,46.944897959,37.551020408,
41.853061224,27.595918367,50,44.908163265,126.32653061,
11.302040816,35.742857143,24.540816327,25.559183673,10.918367347,
13.33877551,43.889795918,2.1367346939,30.651020408,61.224489796,
44.908163265,48.981632653,34.724489796,36.76122449,90.816326531,
3.1551020408,39.816326531,6.2102040816,34.724489796,132.24489796,
14.357142857,37.779591837,28.614285714,0.1,43.469387755,
31.669387755,6.2102040816,23.52244898,1.1183673469,108.57142857,
2.1367346939,15.375510204,25.559183673,13.33877551,70.102040816,
46.944897959,5.1918367347,16.393877551,32.687755102,117.44897959,
24.540816327,41.853061224,18.430612245,48.981632653,78.979591837,
1.1183673469,42.871428571,27.595918367,28.614285714,81.93877551,
6.2102040816,17.412244898,43.889795918,43.889795918,55.306122449,
21.485714286,21.485714286,0.1,19.448979592,22.755102041,
20.467346939,45.926530612,37.779591837,40.834693878,138.16326531,
45.926530612,8.2469387755,36.76122449,7.2285714286,49.387755102,
5.1918367347,0.1,7.2285714286,17.412244898,28.673469388,
43.889795918,3.1551020408,40.834693878,18.430612245,129.28571429,
23.52244898,33.706122449,4.1734693878,2.1367346939,76.020408163,
39.816326531,46.944897959,12.320408163,9.2653061224,34.591836735,
7.2285714286,28.614285714,13.33877551,4.1734693878,135.20408163,
18.430612245,11.302040816,5.1918367347,16.393877551,96.734693878,
38.797959184,16.393877551,14.357142857,45.926530612,52.346938776,
